@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PeakToPeak_on_ACC_X numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_PeakToPeak_on_ACC_Z numeric
@attribute F10_PeakToPeak_on_GY_X numeric
@attribute F11_PeakToPeak_on_GY_Y numeric
@attribute F12_PeakToPeak_on_GY_Z numeric
@attribute F13_ZeroCross_on_ACC_X numeric
@attribute F14_ZeroCross_on_ACC_X numeric
@attribute F15_ZeroCross_on_ACC_Y numeric
@attribute F16_ZeroCross_on_ACC_Y numeric
@attribute F17_ZeroCross_on_ACC_Z numeric
@attribute F18_ZeroCross_on_ACC_Z numeric
@attribute F19_ZeroCross_on_GY_X numeric
@attribute F20_ZeroCross_on_GY_Y numeric
@attribute F21_ZeroCross_on_GY_Z numeric
@attribute F22_PositiveZeroCross_on_ACC_X numeric
@attribute F23_PositiveZeroCross_on_ACC_X numeric
@attribute F24_PositiveZeroCross_on_ACC_Y numeric
@attribute F25_PositiveZeroCross_on_ACC_Y numeric
@attribute F26_PositiveZeroCross_on_ACC_Z numeric
@attribute F27_PositiveZeroCross_on_ACC_Z numeric
@attribute F28_PositiveZeroCross_on_GY_X numeric
@attribute F29_PositiveZeroCross_on_GY_Y numeric
@attribute F30_PositiveZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-0.19812, 0.140625, -0.852539, -0.17749, 0.187622, -0.108276, 3.62891, 4.94922, 7.48438, 22.3125, 9.61719, 7.75391, 16, 6, 8, 8, 8, 10, 8, 8, 16, 8, 3, 4, 4, 4, 5, 4, 4, 8, up
-0.155151, 0.140625, -0.881348, 0.243896, -0.244385, 0.112488, 2.61133, 6.01172, 7.23438, 21.6563, 7.5, 7.03125, 16, 6, 10, 8, 8, 6, 4, 8, 16, 8, 3, 4, 4, 4, 3, 2, 4, 8, up
-0.249268, 0.169434, -0.834473, -0.224609, -0.0543823, -0.105774, 3.60547, 5.38281, 6.87891, 22.4688, 10.0859, 8.20313, 8, 8, 8, 8, 8, 6, 4, 6, 20, 4, 4, 4, 4, 4, 3, 2, 4, 10, up
-0.16748, 0.0983276, -0.902832, 0.476563, 0.0601501, -0.032135, 3.5957, 3.36328, 3.82422, 18.3281, 9.00781, 5.25391, 16, 4, 8, 6, 8, 6, 4, 10, 18, 8, 2, 4, 3, 4, 3, 2, 4, 10, up
-0.156006, 0.136597, -0.93457, 0.00959778, -0.1203, 0.1521, 3.6582, 4.59766, 6.44531, 21.8125, 9.44531, 7.10156, 12, 4, 12, 10, 8, 6, 8, 8, 18, 6, 2, 6, 5, 4, 3, 4, 4, 10, up
-0.219116, 0.281982, -0.838867, 0.0585938, -0.151245, -0.0663452, 2.56445, 4.88281, 6.92578, 21.7031, 10.5469, 10.4297, 14, 4, 8, 8, 8, 8, 4, 8, 8, 6, 2, 4, 4, 4, 4, 2, 4, 4, up
-0.18103, 0.256348, -0.899414, 0.042572, 0.210693, -0.0102386, 3.18945, 4.48047, 6.97656, 21.4063, 9.97656, 8.39063, 8, 10, 8, 6, 8, 6, 8, 8, 20, 4, 5, 4, 3, 4, 3, 4, 4, 10, up
-0.150757, 0.385742, -0.919434, -0.260742, -0.168457, 0.044281, 1.91992, 7.19531, 7.82422, 23.25, 7.51172, 8.03906, 12, 2, 8, 8, 8, 6, 8, 8, 12, 6, 1, 4, 4, 4, 3, 4, 4, 6, up
-0.133545, 0.244751, -0.850098, 0.0178528, -0.237427, 0.237183, 2.49219, 5.03125, 5.22266, 21.4375, 6.78906, 6.76172, 10, 6, 16, 6, 8, 6, 8, 8, 16, 6, 3, 8, 3, 4, 3, 4, 4, 8, up
-0.248413, 0.31543, -0.932129, 0.0334778, -0.284668, 0.0120392, 3.35938, 7.30078, 8.6875, 24.4844, 8.80469, 9.5625, 10, 8, 8, 8, 8, 6, 8, 8, 12, 4, 4, 4, 4, 4, 3, 4, 4, 6, up
-0.171875, 0.319824, -0.918457, -0.161987, -0.142578, -0.0367432, 2.00781, 6.59766, 6.85938, 22.5, 7.21875, 7.05859, 16, 4, 8, 6, 8, 6, 8, 8, 12, 8, 2, 4, 3, 4, 3, 4, 4, 6, up
-0.166992, 0.434814, -0.84082, -0.112854, 0.0648804, 0.163208, 2.4043, 4.39844, 6.26172, 22.7969, 7.47656, 7.9375, 14, 6, 8, 10, 12, 6, 8, 8, 12, 8, 3, 4, 5, 6, 3, 4, 4, 6, up
-0.108215, 0.402832, -0.82959, -0.195923, 0.00698853, 0.124634, 3.29883, 6.125, 6.875, 22.7813, 6.65625, 10.2734, 12, 6, 8, 8, 12, 6, 8, 8, 16, 6, 3, 4, 4, 6, 3, 4, 4, 8, up
-0.0737915, 0.390137, -0.805176, 0.159058, -0.193481, 0.090332, 2.58594, 3.18359, 3.78906, 20.2813, 5.4375, 6.5, 8, 2, 12, 2, 8, 6, 8, 8, 12, 4, 1, 6, 1, 4, 3, 4, 4, 6, up
-0.164307, 0.22583, -0.902832, 0.672363, 0.128784, 0.26001, 4.25781, 4.15625, 5.13672, 20.4219, 7.5625, 8.46875, 16, 4, 8, 8, 8, 8, 4, 8, 10, 8, 2, 4, 4, 4, 4, 2, 4, 6, up
-0.233398, 0.25708, -0.850586, -0.0563049, -0.362305, 0.0859985, 3.375, 5.41406, 7.88672, 23.0625, 7.80078, 9.10938, 14, 4, 8, 8, 6, 6, 4, 8, 10, 6, 2, 4, 4, 2, 3, 2, 4, 6, up
0.728516, 0.0108643, -0.0467834, 0, 0, 0, 15.4844, 15.6719, 14.6719, 0, 0, 0, 42, 41, 58, 53, 64, 65, 0, 0, 0, 20, 20, 30, 27, 32, 32, 0, 0, 0, stand
0.458008, -0.134644, -0.124634, 0, 0, 0, 15.7344, 15.1719, 15.2344, 0, 0, 0, 42, 42, 72, 70, 64, 62, 0, 0, 0, 22, 22, 36, 35, 32, 31, 0, 0, 0, stand
-0.503418, -0.956055, 0.408691, 0, 0, 0, 15.6719, 15.6719, 15.5469, 0, 0, 0, 54, 51, 62, 64, 82, 76, 0, 0, 0, 26, 25, 30, 31, 42, 39, 0, 0, 0, stand
-0.500488, 0.168579, -0.23584, 0, 0, 0, 15.6797, 15.1719, 15.2344, 0, 0, 0, 64, 61, 54, 50, 78, 77, 0, 0, 0, 32, 31, 28, 26, 38, 38, 0, 0, 0, stand
-0.237671, 0.322021, -0.20166, 0, 0, 0, 15.2969, 15.5469, 15.5469, 0, 0, 0, 50, 50, 40, 41, 74, 73, 0, 0, 0, 24, 24, 20, 21, 36, 36, 0, 0, 0, stand
0.0946655, 1.0498, 0.397217, 0, 0, 0, 15.7969, 14.5547, 15.3594, 0, 0, 0, 42, 42, 68, 66, 72, 72, 0, 0, 0, 22, 22, 34, 33, 36, 36, 0, 0, 0, stand
0.114258, -0.829102, -0.771973, 0, 0, 0, 15.6094, 15.3594, 15.4844, 0, 0, 0, 36, 36, 26, 30, 50, 52, 0, 0, 0, 18, 18, 12, 14, 26, 27, 0, 0, 0, stand
0.295898, 0.749512, -0.500488, 0, 0, 0, 15.8047, 15.2344, 15.0469, 0, 0, 0, 72, 70, 50, 51, 68, 62, 0, 0, 0, 36, 35, 24, 25, 34, 31, 0, 0, 0, stand
-0.206787, -0.125854, 1.10645, 0, 0, 0, 15.7344, 15.6172, 15.9219, 0, 0, 0, 36, 36, 34, 34, 52, 50, 0, 0, 0, 18, 18, 18, 18, 26, 25, 0, 0, 0, stand
