@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PositiveZeroCross_on_ACC_X numeric
@attribute F8_PositiveZeroCross_on_ACC_X numeric
@attribute F9_PositiveZeroCross_on_ACC_Y numeric
@attribute F10_PositiveZeroCross_on_ACC_Y numeric
@attribute F11_PositiveZeroCross_on_ACC_Z numeric
@attribute F12_PositiveZeroCross_on_ACC_Z numeric
@attribute F13_PositiveZeroCross_on_GY_X numeric
@attribute F14_PositiveZeroCross_on_GY_Y numeric
@attribute F15_PositiveZeroCross_on_GY_Z numeric
@attribute F16_NegativeZeroCross_on_ACC_X numeric
@attribute F17_NegativeZeroCross_on_ACC_X numeric
@attribute F18_NegativeZeroCross_on_ACC_Y numeric
@attribute F19_NegativeZeroCross_on_ACC_Y numeric
@attribute F20_NegativeZeroCross_on_ACC_Z numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute class {DOWN, UP, STAND, LEFT}

@data
0.972168, 0.0834961, -0.572754, 0.0756836, 0.256104, 0.0453491, 10, 4, 4, 3, 10, 3, 2, 4, 6, 10, 4, 4, 3, 10, 3, 2, 6, 6, LEFT
0.921387, 0.0365295, -0.486084, 0.410156, 0.129761, -0.510742, 6, 3, 2, 2, 10, 2, 2, 4, 6, 6, 3, 2, 2, 8, 2, 2, 4, 6, LEFT
0.904785, 0.0455017, -0.453125, -0.106506, -0.592773, -0.319824, 6, 4, 4, 3, 4, 2, 2, 4, 6, 8, 4, 4, 3, 4, 2, 2, 4, 6, LEFT
0.771484, -0.0079422, -0.556641, 0.385742, -0.196533, -1.10156, 4, 1, 8, 4, 10, 4, 2, 4, 4, 4, 1, 6, 4, 10, 4, 2, 4, 4, LEFT
0.999023, 0.0407104, -0.540527, -0.387451, 0.530273, 0.196289, 10, 3, 6, 5, 6, 3, 2, 4, 6, 10, 3, 8, 5, 6, 3, 2, 6, 6, LEFT
0.856934, 0.00887299, -0.589355, 0.20813, -0.672363, -0.511719, 4, 4, 6, 5, 6, 2, 2, 4, 4, 4, 4, 6, 5, 6, 2, 2, 4, 4, LEFT
0.829102, -0.00940704, -0.662109, -0.169434, -0.42627, -0.788574, 4, 3, 4, 5, 6, 2, 2, 2, 4, 4, 3, 4, 5, 6, 2, 2, 2, 4, LEFT
0.833008, -0.0100098, -0.600098, -0.137695, 0.00275993, -0.288086, 10, 3, 4, 6, 4, 2, 2, 2, 6, 10, 3, 4, 6, 4, 2, 2, 2, 6, LEFT
0.880371, 0.206421, -0.571289, -0.143555, -0.178589, -0.960449, 8, 3, 4, 3, 4, 2, 2, 2, 4, 6, 3, 2, 3, 4, 2, 2, 4, 4, LEFT
0.841797, 0.29126, -0.424561, -0.106812, -0.0932617, -0.196167, 14, 4, 4, 4, 4, 3, 2, 4, 8, 12, 4, 4, 4, 4, 3, 2, 2, 6, LEFT
0.848145, 0.110291, -0.445313, 0.278564, 0.0145645, -0.15979, 6, 3, 4, 3, 4, 2, 2, 4, 4, 6, 3, 4, 3, 4, 2, 2, 4, 4, LEFT
0.910645, 0.12854, -0.456055, -0.164551, -0.165405, -0.132935, 6, 4, 4, 4, 4, 2, 2, 2, 8, 8, 4, 4, 4, 4, 2, 2, 4, 8, LEFT
