@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_PositiveZeroCross_on_ACC_X numeric
@attribute F11_PositiveZeroCross_on_ACC_X numeric
@attribute F12_PositiveZeroCross_on_ACC_Y numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_X numeric
@attribute F21_NegativeZeroCross_on_ACC_Y numeric
@attribute F22_NegativeZeroCross_on_ACC_Y numeric
@attribute F23_NegativeZeroCross_on_ACC_Z numeric
@attribute F24_NegativeZeroCross_on_ACC_Z numeric
@attribute F25_NegativeZeroCross_on_GY_X numeric
@attribute F26_NegativeZeroCross_on_GY_Y numeric
@attribute F27_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.928223, 0.0321045, -0.580566, 0.234497, -0.132446, -0.0241241, 10, 8, 6, 6, 5, 4, 4, 4, 3, 2, 2, 6, 6, 5, 4, 4, 4, 3, 2, 2, 6, left
0.935547, -0.00943756, -0.580078, -0.0283966, -0.260498, 0.0375061, 0, 6, 4, 6, 0, 4, 3, 4, 2, 2, 4, 4, 6, 0, 4, 3, 4, 2, 2, 2, 4, left
0.973633, -0.0327148, -0.51709, 0.142334, 0.121826, 0.0435486, 0, 6, 6, 8, 0, 4, 3, 4, 3, 2, 6, 4, 8, 0, 4, 3, 4, 3, 2, 6, 4, left
-0.0797119, 0.0494995, -0.774414, 0.26001, -0.208374, -0.0931396, 4, 7, 6, 8, 2, 4, 4, 4, 3, 2, 4, 14, 8, 2, 4, 3, 4, 3, 2, 4, 12, up
-0.14856, 0.076355, -0.788574, -0.133423, -0.0358887, 0.0782471, 4, 10, 6, 4, 2, 4, 5, 2, 3, 2, 4, 10, 4, 2, 4, 5, 4, 3, 2, 4, 10, up
-0.053894, 0.244385, -0.807129, -0.126465, 0.166382, 0.365967, 6, 12, 8, 6, 3, 4, 6, 4, 4, 2, 4, 8, 6, 3, 4, 6, 4, 4, 2, 4, 10, up
-0.216553, 0.298096, -0.782715, 0.221558, -0.338867, -0.381836, 4, 10, 6, 6, 2, 4, 5, 6, 3, 2, 4, 4, 6, 2, 4, 5, 4, 3, 2, 4, 4, up
-0.223877, 0.022522, -0.802734, -0.149292, -0.0827026, 0.0608521, 8, 8, 8, 8, 4, 6, 4, 2, 4, 4, 4, 4, 8, 4, 6, 4, 4, 4, 4, 4, 6, up
-0.186035, 0.0856934, -0.709961, -0.150513, 0.100952, 0.105164, 2, 8, 6, 10, 1, 6, 4, 4, 3, 2, 4, 8, 8, 1, 6, 4, 4, 3, 2, 4, 8, up
-0.14917, 0.158081, -0.801758, -0.210938, 0.197998, 0.126831, 6, 8, 8, 8, 3, 4, 4, 4, 4, 2, 4, 6, 8, 3, 4, 4, 4, 4, 2, 4, 6, up
-0.243652, 0.180054, -0.815918, 0.0144501, -0.0291443, -0.0412598, 8, 8, 6, 6, 4, 4, 4, 4, 3, 2, 4, 10, 8, 4, 4, 4, 4, 3, 2, 4, 10, up
-0.19812, 0.140625, -0.852539, -0.17749, 0.187622, -0.108276, 6, 8, 10, 8, 3, 4, 4, 4, 5, 4, 4, 8, 8, 3, 4, 4, 4, 5, 4, 4, 8, up
-0.155151, 0.140625, -0.881348, 0.243896, -0.244385, 0.112488, 6, 8, 6, 8, 3, 4, 4, 4, 3, 2, 4, 8, 8, 3, 6, 4, 4, 3, 2, 4, 8, up
-0.249268, 0.169434, -0.834473, -0.224609, -0.0543823, -0.105774, 8, 8, 6, 4, 4, 4, 4, 4, 3, 2, 4, 10, 4, 4, 4, 4, 4, 3, 2, 2, 10, up
-0.16748, 0.0983276, -0.902832, 0.476563, 0.0601501, -0.032135, 4, 6, 6, 8, 2, 4, 3, 4, 3, 2, 4, 10, 8, 2, 4, 3, 4, 3, 2, 6, 8, up
-0.156006, 0.136597, -0.93457, 0.00959778, -0.1203, 0.1521, 4, 10, 6, 6, 2, 6, 5, 4, 3, 4, 4, 10, 6, 2, 6, 5, 4, 3, 4, 4, 8, up
-0.219116, 0.281982, -0.838867, 0.0585938, -0.151245, -0.0663452, 4, 8, 8, 6, 2, 4, 4, 4, 4, 2, 4, 4, 8, 2, 4, 4, 4, 4, 2, 4, 4, up
-0.18103, 0.256348, -0.899414, 0.042572, 0.210693, -0.0102386, 10, 6, 6, 4, 5, 4, 3, 4, 3, 4, 4, 10, 4, 5, 4, 3, 4, 3, 4, 4, 10, up
