@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.865234, 0.554199, -0.0968628, 2.74609, 2.88672, 0.42627, 0.015625, 0.0180664, 0.00740051, 0.597656, 0.9375, 0.0402832, 10, 0, 0, 0, 0, 2, 10, 0, 0, 0, 0, 0, left
1.03223, -0.209351, -0.288086, -3.77539, -2.11133, 1.09375, 1.46191, 0.445313, 1.72656, 21.8125, 36.5938, 1.23535, 6, 2, 4, 0, 0, 2, 4, 2, 4, 0, 2, 4, left
0.850586, 0.550781, 0.822266, 3.37695, 1.10645, -0.646484, 0.0185547, 0.202881, 0.966309, 5.14063, 0.489258, 0.746094, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, left
0.912598, -0.139526, -1.15332, -1.66992, -0.605957, 0.736328, 0.19043, 0.644043, 0.783203, 48.9375, 2.84961, 1.97949, 4, 2, 0, 0, 2, 0, 2, 2, 0, 2, 2, 0, left
0.79834, 0.407471, 1.05469, 0.960449, 1.05859, -1.3418, 0.101074, 1.05859, 1.04395, 20.0625, 0.519531, 2.35156, 2, 2, 0, 2, 2, 0, 4, 0, 0, 0, 0, 2, left
0.538574, 0.502441, -0.306396, 2.67188, 0.908691, -0.105591, 0.019043, 0.00537109, 0.00866699, 0.335938, 0.140625, 0.00705719, 0, 4, 0, 0, 2, 0, 0, 4, 0, 0, 2, 0, left
1.19531, -0.359131, -0.270508, -5.13281, -0.369629, 1.45508, 0.253906, 1.37402, 3.99414, 24.625, 10.9141, 17.4688, 4, 4, 2, 0, 2, 2, 2, 2, 0, 0, 2, 2, left
0.44043, 0.510742, 0.117249, 4.39063, 0.22937, -0.52832, 0.0546875, 0.192627, 0.606934, 0.53125, 0.71875, 2.24414, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, left
1.11133, -0.693848, -0.774902, -4.99219, 0.727539, 0.979004, 0.402344, 0.729492, 2.36914, 48.3438, 5.20313, 2.26758, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 2, 2, left
0.61377, 0.658691, 0.770508, 3.73633, 1.17285, -1.4873, 0.0407715, 0.155029, 1.33398, 1.8125, 0.137695, 2.10742, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 4, 0, left
0.879395, 0.121643, -1.06348, -0.694336, -0.00548935, 1.25684, 0.373047, 0.526367, 0.517578, 29.5, 7.58984, 3.61523, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 4, 0, left
0.858887, 0.187744, 1.11133, -0.21582, 0.993164, -0.694336, 0.276855, 1.80176, 1.22559, 32.9688, 1.74414, 5.10547, 0, 2, 2, 2, 4, 0, 2, 2, 0, 0, 2, 2, left
0.841309, 0.0291443, -0.848145, 2.58398, 0.748535, 0.449219, 0.0522461, 0.0552368, 0.581543, 12.3125, 0.795898, 0.291016, 6, 2, 0, 0, 2, 0, 6, 2, 0, 2, 4, 0, left
1.14648, 0.226318, 0.551758, -2.24609, -0.432373, -0.858887, 0.140625, 1.53516, 1.22949, 41.1563, 2.47461, 2.62305, 2, 2, 2, 2, 2, 2, 4, 0, 0, 0, 0, 2, left
0.602539, 0.374268, -0.370605, 2.80469, 1.25684, -0.588379, 0.00976563, 0.00537109, 0.00952148, 0.390625, 0.00878906, 0.228027, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, left
0.244629, -0.139893, 0.138306, -2.52148, -1.47949, -0.583008, 0.506836, 2.69727, 9.21875, 84.875, 3.8457, 3.4668, 6, 4, 2, 2, 2, 2, 6, 2, 2, 2, 0, 2, up
-0.303223, 0.410156, -1.05176, 2.03125, 0.556152, 0.442627, 0.0301514, 0.189941, 0.046875, 2.9375, 0.205322, 0.930176, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, up
0.294189, -0.342285, 0.196289, -2.67383, -0.875488, -0.182373, 1.20898, 2.8418, 10.6094, 95.75, 3.78125, 6.28125, 6, 4, 4, 2, 2, 2, 4, 2, 4, 0, 0, 4, up
-0.335693, 0.52002, -0.969727, 2.61523, 0.293213, 0.210693, 0.0109863, 0.0297852, 0.0292969, 3.00391, 0.655762, 1.12988, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, up
0.169678, -0.605469, 0.239502, -4.49219, -1.04883, 0.380859, 1.72754, 1.87598, 11.4063, 61.4375, 3.02539, 2.83594, 4, 4, 2, 2, 4, 2, 4, 2, 2, 0, 2, 4, up
-0.38916, 0.692383, -0.91748, 4.03516, 0.914063, -0.710449, 0.0115967, 0.09375, 0.134766, 7.5, 0.843262, 3.30273, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, up
0.00170422, -0.695801, -0.500488, -5.50781, -0.727539, 0.93457, 1.85449, 2.25586, 9.03906, 55.7188, 4.20703, 3.29102, 4, 2, 2, 0, 2, 2, 4, 2, 2, 0, 2, 2, up
-0.0434875, 0.622559, -0.0823364, 5.10938, 0.695801, -1.06738, 0.474365, 0.191406, 3.62305, 9.17188, 2.65625, 3.89648, 2, 2, 0, 0, 4, 0, 4, 0, 2, 0, 2, 2, up
-0.306885, -0.0697632, -1.51758, -2.72656, -0.303955, -0.0921021, 0.618164, 1.67969, 2.39648, 45.4063, 2.32031, 1.2207, 8, 4, 2, 0, 4, 2, 6, 4, 0, 0, 4, 2, up
0.293457, 0.0606689, 0.831543, 2.94727, 0.342285, -0.16626, 0.71582, 1.3584, 6.98828, 57.75, 3.27344, 5.99219, 6, 2, 2, 2, 2, 2, 8, 0, 2, 0, 0, 2, up
-0.366943, -0.221558, -1.61523, -0.0577087, -0.0869751, 0.326172, 0.259521, 1.33203, 1.75, 5.31641, 0.714844, 0.941406, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 4, 2, up
0.483154, 0.181763, 1.0127, -1.1084, -0.0513, -0.910156, 0.873047, 1.66309, 6.43359, 111.563, 6.35938, 6.02734, 2, 4, 2, 2, 2, 2, 4, 2, 0, 0, 2, 2, up
-0.343018, 0.196045, -1.03613, 1.97461, 0.0105515, 0.772461, 0.155762, 0.396973, 0.0654297, 1.13672, 0.198975, 0.176758, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, up
0.337646, -0.0541687, 0.338867, -2.80469, -0.532715, -0.599121, 0.861328, 2.38477, 8.55469, 85.25, 3.95898, 5.60156, 4, 4, 2, 2, 4, 2, 2, 2, 2, 0, 2, 2, up
-0.22229, 0.33667, -1.14551, 2.56055, 0.636719, 0.303223, 0.0184631, 0.093689, 0.0224609, 5.42969, 1.29785, 0.831543, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, up
0.455322, -0.580078, 0.387207, -3.875, -1.47656, 0.229126, 1.45605, 2.39063, 10.0156, 91.75, 6.19531, 7.57422, 6, 4, 2, 2, 2, 2, 4, 2, 0, 0, 0, 4, up
-0.244629, 0.646484, -0.995605, 3.0625, 0.628418, -0.703613, 0.00747681, 0.00952148, 0.0322266, 5.47656, 1.2207, 1.44043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, up
0.223145, -0.456299, 0.0961304, -4.23047, -1.50977, 0.944336, 1.27441, 2.13477, 9.40625, 54.875, 3.3418, 3.90234, 2, 4, 2, 2, 2, 2, 2, 2, 2, 0, 0, 4, up
-0.142822, 0.626465, -0.92334, 4.72656, 0.941406, -1.09863, 0.0166168, 0.106201, 0.489258, 10.1875, 1.49902, 2.67773, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, up
0.0476379, -0.574707, -0.442627, -5.41016, -1.12695, 0.469971, 1.06055, 1.63379, 7.61328, 44.375, 2.64258, 3.35352, 6, 2, 2, 0, 2, 2, 4, 2, 2, 0, 2, 2, up
-0.0368042, 0.750977, -0.13501, 5.20313, 0.812988, -0.757813, 0.234497, 0.148926, 2.73828, 5.39063, 1.87402, 2.15625, 0, 2, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, up
-0.221558, -0.395508, -1.29004, -4.20313, -0.679688, 0.0340881, 0.769043, 1.91602, 3.37109, 55.2813, 2.44922, 1.64355, 6, 2, 2, 0, 2, 2, 4, 2, 0, 0, 2, 2, up
0.196899, 0.406494, 0.671387, 3.90625, 0.491455, -0.284424, 0.412109, 0.898438, 5.92188, 30.8125, 3.47852, 3.66406, 4, 2, 2, 2, 2, 2, 6, 0, 2, 0, 2, 2, up
