STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
132 	 -492 	 70 	 72.345 	 -57.645 	 -142.135 	
668 	 -535 	 56 	 73.5 	 -57.26 	 -140.245 	
1056 	 -562 	 -10 	 72.8 	 -51.52 	 -133.875 	
1398 	 -381 	 -110 	 69.825 	 -44.135 	 -119.28 	
1544 	 -131 	 -290 	 61.39 	 -36.155 	 -92.4 	
1941 	 113 	 -768 	 46.41 	 -30.135 	 -59.605 	
2714 	 357 	 -1002 	 27.335 	 -20.825 	 -27.895 	
3409 	 564 	 -989 	 3.675 	 -4.515 	 -4.83 	
3520 	 559 	 -1008 	 -28.175 	 18.34 	 11.76 	
3331 	 618 	 -985 	 -65.765 	 40.04 	 20.825 	
3292 	 1074 	 -1026 	 -103.565 	 56.035 	 30.905 	
3153 	 1623 	 -1045 	 -143.465 	 72.38 	 51.17 	
2771 	 1874 	 -1016 	 -190.05 	 89.53 	 77.385 	
2257 	 1809 	 -827 	 -240.31 	 103.705 	 98.98 	
2012 	 1624 	 -824 	 -290.43 	 110.635 	 105.035 	
1708 	 1571 	 -729 	 -337.68 	 116.515 	 93.205 	
1159 	 1469 	 -614 	 -383.075 	 119.56 	 70.0 	
638 	 1310 	 -508 	 -424.41 	 115.01 	 41.79 	
210 	 1132 	 -377 	 -458.29 	 103.18 	 16.345 	
-121 	 957 	 -262 	 -484.75 	 84.84 	 -4.935 	
-424 	 596 	 -110 	 -504.14 	 61.565 	 -20.895 	
-590 	 216 	 20 	 -513.31 	 32.515 	 -34.16 	
-609 	 -51 	 89 	 -511.945 	 0.315 	 -44.73 	
-597 	 -261 	 121 	 -502.18 	 -32.62 	 -53.2 	
-523 	 -498 	 162 	 -484.645 	 -66.675 	 -61.425 	
-256 	 -688 	 154 	 -458.36 	 -101.045 	 -71.715 	
30 	 -754 	 50 	 -424.515 	 -131.145 	 -81.375 	
188 	 -691 	 -12 	 -385.07 	 -156.1 	 -85.015 	
386 	 -510 	 -100 	 -342.475 	 -178.57 	 -79.065 	
650 	 -350 	 -236 	 -298.27 	 -196.735 	 -62.72 	
879 	 -370 	 -392 	 -252.875 	 -207.445 	 -39.55 	
1039 	 -273 	 -501 	 -204.68 	 -212.485 	 -17.675 	
1175 	 -83 	 -648 	 -158.55 	 -214.235 	 -0.735 	
1343 	 -3 	 -758 	 -116.97 	 -211.05 	 10.325 	
1403 	 40 	 -813 	 -76.86 	 -201.495 	 16.975 	
1340 	 148 	 -848 	 -37.485 	 -187.95 	 21.63 	
1309 	 309 	 -877 	 -1.19 	 -173.81 	 25.97 	
1351 	 394 	 -885 	 30.94 	 -158.34 	 32.76 	
1351 	 378 	 -896 	 61.005 	 -140.63 	 42.49 	
1322 	 409 	 -919 	 90.615 	 -122.15 	 53.165 	
1326 	 459 	 -912 	 117.81 	 -103.6 	 64.645 	
1313 	 464 	 -884 	 141.19 	 -85.575 	 75.32 	
1300 	 389 	 -849 	 162.4 	 -68.25 	 84.77 	
1270 	 366 	 -832 	 183.19 	 -51.59 	 91.455 	
1215 	 390 	 -805 	 202.86 	 -35.875 	 95.515 	
1150 	 385 	 -763 	 219.73 	 -21.84 	 96.81 	
1099 	 322 	 -744 	 234.64 	 -9.905 	 95.62 	
1071 	 310 	 -755 	 248.85 	 0.49 	 91.805 	
1059 	 370 	 -752 	 261.45 	 9.905 	 86.345 	
1041 	 395 	 -736 	 271.6 	 17.92 	 80.815 	
1026 	 407 	 -757 	 279.755 	 24.36 	 75.67 	
1022 	 416 	 -787 	 286.405 	 29.96 	 71.925 	
1004 	 444 	 -797 	 291.9 	 34.79 	 70.175 	
979 	 501 	 -813 	 295.68 	 38.29 	 70.84 	
967 	 553 	 -832 	 297.36 	 40.425 	 73.78 	
948 	 559 	 -835 	 297.115 	 41.825 	 78.435 	
927 	 565 	 -832 	 296.03 	 42.385 	 83.3 	
902 	 579 	 -829 	 293.65 	 42.07 	 87.255 	
891 	 572 	 -824 	 289.59 	 40.915 	 89.25 	
884 	 533 	 -809 	 284.34 	 39.41 	 88.06 	
860 	 508 	 -791 	 278.67 	 37.8 	 83.09 	
836 	 490 	 -770 	 272.23 	 35.63 	 74.69 	
810 	 453 	 -733 	 264.775 	 33.46 	 63.595 	
760 	 424 	 -696 	 257.005 	 31.29 	 50.645 	
707 	 406 	 -656 	 248.745 	 28.945 	 36.47 	
672 	 400 	 -619 	 239.715 	 26.005 	 21.35 	
672 	 366 	 -584 	 230.265 	 22.995 	 5.985 	
641 	 338 	 -544 	 221.095 	 20.51 	 -9.03 	
577 	 349 	 -499 	 212.1 	 17.955 	 -22.505 	
540 	 345 	 -465 	 202.195 	 14.665 	 -33.39 	
536 	 318 	 -450 	 192.115 	 10.885 	 -41.475 	
515 	 285 	 -471 	 182.525 	 7.14 	 -46.655 	
569 	 250 	 -516 	 173.635 	 3.045 	 -50.785 	
460 	 281 	 -332 	 164.78 	 0.84 	 -52.29 	
458 	 277 	 -395 	 154.63 	 -3.78 	 -53.34 	
436 	 181 	 -427 	 145.04 	 -8.295 	 -52.85 	
414 	 204 	 -375 	 136.675 	 -12.495 	 -53.55 	
423 	 181 	 -372 	 127.925 	 -16.485 	 -54.46 	
395 	 144 	 -367 	 118.72 	 -20.09 	 -57.68 	
417 	 84 	 -362 	 110.005 	 -24.395 	 -63.245 	
451 	 67 	 -375 	 102.095 	 -28.28 	 -72.03 	
496 	 36 	 -405 	 94.15 	 -31.29 	 -83.37 	
501 	 4 	 -418 	 86.555 	 -33.635 	 -97.335 	
520 	 -18 	 -423 	 79.485 	 -36.26 	 -113.505 	
580 	 -36 	 -438 	 72.8 	 -38.675 	 -131.425 	
610 	 -55 	 -442 	 66.395 	 -40.005 	 -150.185 	
